,check_id,estilo_cerveja,id_cerveja,cerveja,cervejaria,data_checkin,user_id
0,829521757,IPA - New England,2009584,EVERMAINE,Cervejaria EverBrew,"Fri, 15 Nov 2019 14:37:51 +0000",4492323
1,829059541,Belgian Strong Golden Ale,52593,La Chouffe Blond,Brasserie d'Achouffe,"Wed, 13 Nov 2019 22:02:37 +0000",4492323
2,828155440,IPA - American,2310829,IPA Viva,Cerveja Coruja,"Sun, 10 Nov 2019 16:17:48 +0000",4492323
3,828143452,Dunkelweizen,17458,Paulaner Hefe-Weißbier Dunkel,Paulaner Brauerei,"Sun, 10 Nov 2019 15:39:54 +0000",4492323
4,828133052,IPA - Sour,3241440,Passionate,Cervejaria EverBrew,"Sun, 10 Nov 2019 15:01:36 +0000",4492323
5,827359409,IPA - Imperial / Double New England,3368854,Double Captain Jack,Salvador Brewing Co.,"Sat, 09 Nov 2019 14:59:35 +0000",4492323
6,827008741,IPA - Sour,3510281,Liana,Cervejaria Tábuas,"Fri, 08 Nov 2019 22:32:14 +0000",4492323
7,826616892,Stout - Pastry,3510276,Colher De Pau,Cervejaria Tábuas,"Fri, 08 Nov 2019 00:50:01 +0000",4492323
8,821575507,Stout - Russian Imperial,3323635,"Brasa 2019 - Café, Canela e Cumaru",Cervejaria Tábuas,"Fri, 25 Oct 2019 22:12:01 +0000",4492323
9,821499634,IPA - American,1691398,Big Chief,Salvador Brewing Co.,"Fri, 25 Oct 2019 20:31:23 +0000",4492323
10,820050705,IPA - Session / India Session Ale,3416897,Trooper Brasil IPA,Bodebrown,"Sun, 20 Oct 2019 20:58:59 +0000",4492323
11,819853076,IPA - Triple New England,3466850,A Maldição do Pirata Nelson,Under Tap Brewing Co,"Sun, 20 Oct 2019 15:03:28 +0000",4492323
12,819216702,IPA - New England,3479784,Calmaria,Under Tap Brewing Co,"Sat, 19 Oct 2019 17:48:09 +0000",4492323
13,819209444,Stout - Russian Imperial,3466859,Limbo,Under Tap Brewing Co,"Sat, 19 Oct 2019 17:41:09 +0000",4492323
14,819103758,Lager - Winter,259693,Estrella de Navidad,Hijos de Rivera,"Sat, 19 Oct 2019 15:31:05 +0000",4492323
0,829541504,Extra Special / Strong Bitter,332969,Trooper,Robinsons Brewery,"Fri, 15 Nov 2019 16:19:57 +0000",5102646
1,829535566,IPA - Session / India Session Ale,1835882,Serena Session,Cervejaria Cathedral,"Fri, 15 Nov 2019 15:57:08 +0000",5102646
2,829535144,IPA - American,2162085,Classic IPA,Three Monkeys Beer,"Fri, 15 Nov 2019 15:55:18 +0000",5102646
3,829477220,Sour - Fruited,3520698,ZalaZ & Japas - Festival ZalaZ 2019 - Da Fazenda Ao Copo,ZalaZ,"Fri, 15 Nov 2019 04:31:44 +0000",5102646
4,829458357,Farmhouse Ale - Saison,3520697,ZalaZ & Dogma - Festival ZalaZ 2019 - Da Fazenda Ao Copo,ZalaZ,"Fri, 15 Nov 2019 03:14:23 +0000",5102646
5,829438993,IPA - New England,2009584,EVERMAINE,Cervejaria EverBrew,"Fri, 15 Nov 2019 02:22:07 +0000",5102646
